gene,drift_velocity,abs_drift
TBC1D4,-0.014206423,0.014206423
SPON2,-0.014156186,0.014156186
TRBV7-9,-0.014121096,0.014121096
HPGD,-0.013898199,0.013898199
ITGA1,-0.013850272,0.013850272
DKK3,0.0136231035,0.0136231035
NKTR,-0.013497909,0.013497909
MAGEH1,-0.013352517,0.013352517
ATF3,-0.01326082,0.01326082
GIMAP1,-0.013225028,0.013225028
CCR7,0.0132224485,0.0132224485
CKLF,-0.013209721,0.013209721
TNFSF10,-0.013131913,0.013131913
NFKBID,0.013012675,0.013012675
GK,-0.013006717,0.013006717
DDX60L,-0.012931537,0.012931537
TRAV17,-0.012924178,0.012924178
CD70,-0.012816854,0.012816854
MYO7A,-0.012774614,0.012774614
INPP5F,-0.012773403,0.012773403
BCL2,-0.012660264,0.012660264
PPM1K,-0.012488129,0.012488129
MIR155HG,0.012428352,0.012428352
RBKS,-0.012403439,0.012403439
ATM,0.012342243,0.012342243
F2R,-0.01233291,0.01233291
KLRB1,0.0122576095,0.0122576095
SLFN12L,-0.011977505,0.011977505
APOBEC3G,0.011833227,0.011833227
C1QA,-0.0117508955,0.0117508955
CISH,0.011609805,0.011609805
INPP4B,0.011511209,0.011511209
PIM3,0.011502767,0.011502767
C1QB,-0.011383657,0.011383657
TRPS1,-0.011353759,0.011353759
TRBV7-2,0.011327734,0.011327734
CCR5,-0.011323162,0.011323162
TXK,-0.011306676,0.011306676
TRAF1,-0.011289585,0.011289585
CMC1,-0.011278245,0.011278245
TRDV2,0.011237922,0.011237922
LYZ,-0.011209228,0.011209228
COL6A3,-0.010932827,0.010932827
TTN,-0.010925229,0.010925229
PLEC,0.010861773,0.010861773
TRG-AS1,-0.010784839,0.010784839
FABP5,-0.010771443,0.010771443
STAT2,-0.010618215,0.010618215
RTKN2,-0.010499312,0.010499312
CCDC50,-0.0104626445,0.0104626445
TRGV9,0.010439022,0.010439022
HMOX1,-0.0103973085,0.0103973085
ACTA2,-0.0103732245,0.0103732245
PLPP1,-0.010352708,0.010352708
FCRL3,-0.0102876425,0.0102876425
ZNF683,-0.010151975,0.010151975
ABLIM1,-0.010121082,0.010121082
ATP2B4,-0.010043783,0.010043783
SOD2,-0.0098744035,0.0098744035
C1QC,-0.009852535,0.009852535
ADAM19,-0.0098525025,0.0098525025
SORL1,-0.009849285,0.009849285
CSF1,-0.009804861,0.009804861
TTC14,-0.009699098,0.009699098
POLR2J3,-0.009685177,0.009685177
FCRL6,0.009683743,0.009683743
TSPAN13,-0.009605823,0.009605823
PDE4DIP,-0.009599054,0.009599054
LINC00861,0.009573346,0.009573346
PLXDC1,0.0094239395,0.0094239395
MKI67,-0.009402725,0.009402725
MT-ND3,-0.009325329,0.009325329
CCR2,-0.009266634,0.009266634
IL18RAP,-0.009240671,0.009240671
GPR65,-0.009062451,0.009062451
DTHD1,-0.009028031,0.009028031
PASK,0.009008598,0.009008598
MS4A1,0.008953933,0.008953933
LMO4,-0.008925724,0.008925724
FTH1,0.008901258,0.008901258
S1PR1,0.008845638,0.008845638
SPRY1,-0.008677628,0.008677628
MAP3K8,0.008659007,0.008659007
ADTRP,-0.008639272,0.008639272
TRAV12-2,-0.008606875,0.008606875
CMPK2,-0.008531997,0.008531997
TRBV7-6,-0.008510209,0.008510209
CXCL9,-0.008228343,0.008228343
PARP15,-0.008199959,0.008199959
IKZF2,-0.008184445,0.008184445
KRT8,-0.008165315,0.008165315
REL,0.008154405,0.008154405
FAM118A,0.008114154,0.008114154
TRGV10,-0.008080975,0.008080975
TYROBP,0.008059441,0.008059441
ATP2B1,-0.008009633,0.008009633
GZMB,0.0079214405,0.0079214405
FCGR3A,-0.007879836,0.007879836
LINC02195,-0.007839777,0.007839777
GYG1,0.0078124274,0.0078124274
UBXN11,-0.0077992557,0.0077992557
LINC02273,0.0077964356,0.0077964356
ICOS,-0.0077642617,0.0077642617
APOC1,-0.0077144057,0.0077144057
TNFRSF9,-0.0076735024,0.0076735024
IFNG-AS1,0.007643175,0.007643175
TNS3,-0.007620191,0.007620191
CD200,0.0075322357,0.0075322357
SESN3,-0.0075116726,0.0075116726
ARAP2,-0.0075043146,0.0075043146
CENPF,-0.007434485,0.007434485
TRAV4,-0.007433545,0.007433545
CRIP2,0.0074188444,0.0074188444
F5,-0.007294333,0.007294333
TNIP3,-0.007280094,0.007280094
MAL,-0.007225986,0.007225986
TOP2A,-0.007196407,0.007196407
NR4A3,0.0071524293,0.0071524293
XBP1,0.0071187736,0.0071187736
IFIT1,-0.007017805,0.007017805
LDLRAD4,-0.0068165376,0.0068165376
TRBV9,-0.0067930752,0.0067930752
TBC1D8,-0.0067814635,0.0067814635
CHN1,-0.006780062,0.006780062
NUSAP1,-0.0067362753,0.0067362753
AIF1,-0.006720603,0.006720603
PDE7B,-0.0067143743,0.0067143743
