gene,drift_velocity,abs_drift
SPATA12,2.8831306e-05,2.8831306e-05
CBLC,-2.8795039e-05,2.8795039e-05
NTM,2.8776907e-05,2.8776907e-05
GRB7,-2.866811e-05,2.866811e-05
SCHLAP1,-2.8523045e-05,2.8523045e-05
CLVS1,2.8396116e-05,2.8396116e-05
LMF1-AS1,2.8377983e-05,2.8377983e-05
SHROOM1,2.8214787e-05,2.8214787e-05
ZNF532,-2.8033457e-05,2.8033457e-05
KLK4,-2.7815862e-05,2.7815862e-05
HOXA7,2.779773e-05,2.779773e-05
LMO3,-2.7707065e-05,2.7707065e-05
FERMT2,2.76708e-05,2.76708e-05
ANPEP,2.76708e-05,2.76708e-05
IBA57-DT,-2.7652666e-05,2.7652666e-05
IGHV3-19,2.7652666e-05,2.7652666e-05
LINC02188,2.7598267e-05,2.7598267e-05
MIR3945HG,-2.7525737e-05,2.7525737e-05
F3,-2.7471338e-05,2.7471338e-05
TSPAN7,2.7435073e-05,2.7435073e-05
GAREM1,2.7308142e-05,2.7308142e-05
LY86-AS1,2.7217478e-05,2.7217478e-05
GSN-AS1,-2.716308e-05,2.716308e-05
ZNF503-AS2,2.7090548e-05,2.7090548e-05
RAB17,2.7072414e-05,2.7072414e-05
LCN6,-2.7018015e-05,2.7018015e-05
EPB41L4A-DT,2.6963617e-05,2.6963617e-05
RBBP8NL,2.6655358e-05,2.6655358e-05
GNAT3,-2.6564694e-05,2.6564694e-05
MLXIPL,-2.6492162e-05,2.6492162e-05
SIRPA,2.6455897e-05,2.6455897e-05
DPEP1,-2.6437763e-05,2.6437763e-05
SLC30A2,2.6274567e-05,2.6274567e-05
DYRK3,2.6256434e-05,2.6256434e-05
SLC24A2,2.6238302e-05,2.6238302e-05
C1QTNF2,2.6220168e-05,2.6220168e-05
JCAD,2.6056972e-05,2.6056972e-05
CLPSL2,-2.5966308e-05,2.5966308e-05
TREX2,2.5857511e-05,2.5857511e-05
DGKI,-2.5857511e-05,2.5857511e-05
RAB40A,-2.5821244e-05,2.5821244e-05
