gene,drift_velocity,abs_drift
STON2,2.616577e-05,2.616577e-05
MUC5B,2.6111371e-05,2.6111371e-05
LIX1L-AS1,2.6093237e-05,2.6093237e-05
TBC1D12,2.6075106e-05,2.6075106e-05
SERPINA11,2.6038839e-05,2.6038839e-05
CCL21,2.6020707e-05,2.6020707e-05
SLC12A5,2.573058e-05,2.573058e-05
ENPP5,2.5494852e-05,2.5494852e-05
KCTD14,-2.5494852e-05,2.5494852e-05
SLC24A4,2.509593e-05,2.509593e-05
RIPPLY3,2.509593e-05,2.509593e-05
SMPDL3B,-2.4932733e-05,2.4932733e-05
IL22RA1,-2.49146e-05,2.49146e-05
TOX3,2.4769537e-05,2.4769537e-05
CD1E,-2.4769537e-05,2.4769537e-05
DNASE1L3,2.473327e-05,2.473327e-05
GJB5,-2.4624473e-05,2.4624473e-05
MPEG1,-2.4497544e-05,2.4497544e-05
MITF,2.4443145e-05,2.4443145e-05
ANKRD65,2.422555e-05,2.422555e-05
CKMT1B,-2.4189283e-05,2.4189283e-05
GLRA3,2.4080486e-05,2.4080486e-05
MILR1,2.3989822e-05,2.3989822e-05
ROR1,-2.379036e-05,2.379036e-05
FREM1,-2.3536499e-05,2.3536499e-05
MARCO,2.3391436e-05,2.3391436e-05
CERKL,-2.3373303e-05,2.3373303e-05
SPTBN2,-2.3065044e-05,2.3065044e-05
FAM95B1,-2.284745e-05,2.284745e-05
